LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
2698843,0.517522,0.517529,0.517526,1.000014,179,25.2,3.1,25.7,3.0,15.05,0.84,183,48.0,5.9,47.9,5.8,15.12,0.64,1.9323,1.9662,29.5159,0.0837,7.2902,1.9323,1.9359,272.1088,0.0191,9.2766,0.2,1e-05,,LZ5,7.0
2792252,0.539197,0.539218,0.539208,1.000039,321,2.1,1.1,4.5,1.3,15.85,0.75,308,13.9,3.2,26.6,3.6,15.82,0.95,1.8546,1.9287,13.4998,0.0669,9.512,1.8545,1.9286,13.4998,0.018,10.6041,0.2,4e-05,,LZ4,7.0
2851826,0.521838,0.521842,0.52184,1.000008,257,1.6,1.0,1.7,1.0,15.74,0.95,653,18.1,2.5,19.7,2.5,15.63,1.21,1.9163,1.9595,23.1642,0.0985,8.7198,1.9163,1.9595,23.1374,0.0137,22.2937,0.26,1e-05,,LZ3,5.0
2855834,0.444769,0.444779,0.444774,1.000022,262,3.6,1.5,8.6,1.4,14.72,1.15,671,16.6,2.7,40.1,2.8,14.49,1.56,2.2484,2.3191,14.1433,0.0679,6.0888,2.2483,2.2531,208.1165,0.0019,15.9853,0.41,2e-05,,LZ3,5.0
2889542,0.570913,0.570911,0.570912,0.999996,457,2.7,1.3,2.7,1.3,15.56,0.96,170,9.2,2.5,8.2,2.5,15.44,1.35,1.7516,1.7855,29.4855,0.0521,11.8677,1.7516,1.8062,18.3268,0.0054,6.1558,0.39,0.0,,LZ3,5.0
2892940,0.539855,0.539896,0.539876,1.000076,462,3.7,1.3,5.1,1.5,16.16,0.9,169,49.1,4.2,78.5,6.0,16.06,1.21,1.8523,1.8862,29.529,0.0783,12.9993,1.8522,1.9288,13.0514,0.0238,10.5259,0.31,8e-05,,LZ4,8.0
2936953,0.328746,0.328733,0.328739,0.99996,271,13.0,2.7,14.6,3.2,14.88,0.35,187,2.5,1.3,3.3,1.2,14.93,0.29,3.0419,3.1123,14.1995,0.0339,14.705,3.042,3.0448,356.5062,0.04,17.0701,0.06,4e-05,,LZ3,5.0
3045044,0.582931,0.582934,0.582932,1.000005,358,3.1,1.1,3.1,1.1,15.74,0.69,321,41.8,3.6,42.0,3.6,15.75,0.87,1.7155,1.7494,29.4985,0.0924,11.1849,1.7155,1.7806,15.3539,0.0033,5.61,0.18,1e-05,,LZ4,6.0
3140139,0.30459,0.304585,0.304588,0.999984,255,7.7,2.5,7.8,2.6,15.62,0.4,343,25.1,5.6,26.5,5.4,15.49,0.6,3.2831,3.3529,14.3338,0.0256,10.8164,3.2832,3.4219,7.2056,0.0035,8.4888,0.2,2e-05,,LZ5,7.0
3140682,0.462609,0.462312,0.46246,0.999358,181,1.3,1.0,36.5,4.7,15.44,1.09,350,103.9,9.7,314.4,18.0,15.73,0.79,2.1617,2.2411,12.5834,0.0815,7.6033,2.163,2.1749,84.3882,0.0062,14.1391,0.3,0.00064,,LZ5,9.0
3170992,0.527191,0.527162,0.527176,0.999945,280,1.9,1.1,2.5,1.2,16.42,0.63,340,19.4,2.7,20.2,2.8,16.45,0.51,1.8968,1.9675,14.1553,0.0561,8.0723,1.897,1.9675,14.1814,0.0187,7.5846,0.12,6e-05,,LZ3,6.0
3183285,0.349653,0.349664,0.349658,1.000031,485,4.1,1.2,5.2,1.5,15.51,0.48,588,15.7,2.8,22.3,3.2,15.46,0.58,2.86,2.8939,29.4768,0.0388,17.3861,2.8599,2.8654,181.8182,0.0024,15.1581,0.1,3e-05,,LZ3,5.0
3196582,0.268017,0.268018,0.268018,1.000004,479,8.6,2.5,9.0,2.5,14.82,0.35,172,10.1,3.4,10.1,3.4,14.7,0.51,3.7311,3.765,29.5203,0.0285,25.6121,3.7311,3.8361,9.5256,0.0026,6.7338,0.16,0.0,,LZ4,6.0
3196780,0.504148,0.504199,0.504174,1.000101,475,9.3,2.2,30.8,2.9,15.15,0.81,286,21.5,3.2,102.9,6.9,15.08,0.85,1.9835,2.0029,51.7331,0.0734,18.1467,1.9833,1.9889,181.653,0.023,11.623,0.04,0.0001,,LZ4,6.0
3218931,0.693979,0.693939,0.693959,0.999942,274,28.8,2.6,32.7,2.6,14.24,0.79,743,14.9,2.9,21.4,3.5,14.22,0.71,1.441,1.5088,14.7395,0.0912,2.4484,1.441,1.4459,205.5498,0.0028,11.5981,0.08,6e-05,,LZ3,6.0
3219035,0.326746,0.326509,0.326627,0.999275,376,23.9,3.9,51.5,7.6,14.83,0.32,168,11.5,2.6,39.5,5.0,14.93,0.23,3.0605,3.1287,14.6692,0.0327,10.1934,3.0627,3.0661,294.1176,0.02,12.0769,0.09,0.00073,,LZ4,7.0
3221817,0.623799,0.623813,0.623806,1.000022,303,5.2,2.4,5.3,2.5,15.71,0.52,712,31.3,4.8,32.5,4.9,15.74,0.62,1.6031,1.6709,14.7471,0.0513,5.0956,1.603,1.6086,180.3427,0.0048,20.7939,0.1,2e-05,,LZ4,5.0
3294319,0.55546,0.555473,0.555466,1.000023,802,10.4,1.9,10.8,1.9,15.44,0.76,169,40.0,4.7,46.3,4.9,15.65,0.88,1.8003,1.8342,29.4855,0.0517,11.3597,1.8003,1.8673,14.9098,0.0115,10.6526,0.12,2e-05,,LZ4,5.0
3437725,0.542457,0.542478,0.542468,1.000039,266,3.5,1.5,4.2,1.6,15.89,0.67,355,64.8,6.3,81.9,6.2,15.72,1.07,1.8435,1.9231,12.5557,0.0612,7.0611,1.8434,1.9231,12.5447,0.0101,8.7519,0.4,4e-05,,LZ5,8.0
3440695,0.496917,0.496911,0.496914,0.999988,282,8.0,1.3,8.4,1.3,15.05,0.83,502,40.8,3.8,42.4,3.8,14.89,1.18,2.0124,2.0219,105.8201,0.0813,9.7048,2.0124,2.0173,205.1282,0.0421,30.1472,0.35,1e-05,,LZ4,6.0
3463199,0.334718,0.33471,0.334714,0.999976,297,0.6,0.7,0.7,0.7,16.61,0.51,579,11.3,2.3,13.4,2.5,16.51,0.67,2.9876,3.0584,14.1153,0.0382,10.1683,2.9877,2.9952,133.2445,0.0044,23.6348,0.16,2e-05,,LZ3,5.0
3466279,0.487819,0.487821,0.48782,1.000004,222,2.3,0.9,2.2,1.0,15.0,1.11,668,13.3,2.8,14.0,2.9,14.78,1.47,2.0499,2.0735,42.4989,0.0621,8.5139,2.0499,2.0735,42.4538,0.0133,29.0528,0.36,0.0,L,LZ3,5.0
3491287,0.490986,0.490995,0.49099,1.000018,483,4.1,1.4,4.9,1.5,15.25,0.94,504,37.9,3.8,44.4,3.9,15.28,0.8,2.0367,2.0537,58.8408,0.058,11.9199,2.0367,2.0537,58.8755,0.0099,18.3211,0.14,2e-05,,LZ4,5.0
3589854,0.612893,0.612953,0.612923,1.000098,468,29.1,3.9,47.9,5.2,14.57,0.49,545,45.0,5.8,59.9,6.3,14.46,0.5,1.6316,1.6656,29.4031,0.0565,15.3618,1.6314,1.6369,184.6722,0.0169,17.6992,0.01,0.0001,,LZ5,7.0
3591037,0.558643,0.558609,0.558626,0.999939,449,5.4,1.3,12.5,1.7,15.69,0.76,544,30.1,3.5,50.9,4.1,15.72,0.65,1.7901,1.7929,352.1127,0.0622,13.9545,1.7902,1.7956,182.3154,0.012,20.9073,0.11,6e-05,,LZ4,7.0
