ID,Porig,Pnew,ra,dec,ug,gi,iK,JK,logP,Ampl,skew,kurt,magMed,nObs,LCtype,lab,bab
12502187,0.52689794,0.52688465,220.370102,3.868311,1.16,0.28,1.06,0.29,-0.2782735,0.98,-0.38,-1.22,15.49,256,1,-0.06569419304506674,0.958482465317726
12516209,0.60068695,0.60067076,220.050995,-1.737755,1.21,0.12,1.11,0.56,-0.2213518,0.49,-0.23,-0.9,16.04,231,1,-0.18324211816688418,0.8905891574151465
12525125,0.55889999,0.55889576,220.259766,32.700275,1.21,0.1,1.01,0.47,-0.2526659,0.74,-0.07,1.85,16.3,235,1,0.9219876306585242,1.1463147994173557
12526629,0.70455905,0.70458647,220.480591,31.5578,1.18,0.03,0.93,0.26,-0.1520826,0.65,-0.46,-1.01,15.07,196,1,0.8731707714802432,1.144691643213001
12533027,0.57672397,0.57672063,220.468506,31.951782,1.21,0.05,0.49,0.17,-0.239032,0.74,-0.33,-0.55,16.67,167,1,0.8898037592517491,1.1444123905326817
12534878,0.34905599,0.3490569,221.517181,33.993,1.15,0.04,0.6,0.0,-0.4571049,0.4,0.13,-1.06,16.22,234,2,0.9699143719182892,1.1254057549784635
12544799,0.55095002,0.55093792,220.122864,36.854786,1.21,-0.14,0.67,0.17,-0.2588878,0.92,-0.75,-0.74,15.9,161,1,1.093972375150046,1.1349527059868727
12560639,0.376842,0.37684233,221.851395,39.854839,1.2,-0.03,0.84,0.23,-0.4238407,0.45,-0.0,-1.52,15.39,192,2,1.1921471455747268,1.096939434878436
12562559,0.31427903,0.31428141,220.074814,39.446571,1.2,-0.03,1.08,0.46,-0.5026846,0.38,-0.24,-0.97,16.27,219,2,1.1951491118881572,1.1218278300118751
12569794,0.76305897,0.76305639,221.619217,42.42572,1.2,0.22,1.05,0.28,-0.1174419,0.49,-0.44,-1.01,15.43,193,1,1.2849113953182254,1.0833433200054003
12578804,0.51953702,0.51952555,219.999481,43.697315,1.22,0.08,0.87,0.2,-0.2843835,0.89,-0.48,-0.9,16.37,218,1,1.3473592759545827,1.0921746860204915
12586257,0.53209294,0.5320962,221.280441,45.367683,1.18,-0.25,0.46,0.24,-0.2740125,1.04,-0.69,0.06,16.89,184,1,1.3852678273078993,1.0641970581110225
12588097,0.48123599,0.48123346,221.777191,46.037155,1.2,-0.33,0.43,0.28,-0.3176419,0.96,-0.84,-0.5,15.55,212,1,1.3999809529022116,1.0531840305309383
12590447,0.59856704,0.59856885,221.466736,48.516098,1.19,0.35,1.1,0.42,-0.2228872,0.54,-0.44,-0.54,16.08,215,1,1.477054692670281,1.0336363429086017
12603859,0.71626396,0.71627959,221.703033,5.413879,1.06,0.24,1.16,0.3,-0.1449269,0.52,-0.63,-0.11,15.43,199,1,-0.003787364476828259,0.9598787287193215
12606453,0.74643793,0.74646828,220.291321,5.542249,1.17,0.34,1.34,0.38,-0.1270063,0.4,-0.0,-1.1,16.01,133,1,-0.029914943379182546,0.9795834959743374
12611230,0.45096195,0.45095465,220.119644,6.475752,1.14,0.29,1.31,0.54,-0.3458601,0.79,-1.27,0.84,15.74,145,1,-0.011676252695842493,0.9927258252418547
12616804,0.613922,0.61393448,220.319641,-2.999447,1.15,0.34,1.04,0.43,-0.2118868,0.69,1.63,13.87,15.41,218,1,-0.19978783947579082,0.8706924039424112
12622733,0.55480006,0.5548106,221.308594,51.456287,1.19,0.27,0.86,0.15,-0.2558635,0.72,-0.15,-0.83,16.31,203,1,1.5586139286159764,1.0051351162235345
12627837,0.48673704,0.4867426,221.980499,54.392624,1.15,0.24,0.94,0.1,-0.3127056,0.96,-0.1,-0.15,16.83,211,1,1.622754778626768,0.967383644502897
12632568,0.33768106,0.33768618,220.215118,56.437817,1.21,0.12,0.92,0.15,-0.4714933,0.41,-0.11,-1.2,15.99,168,2,1.6893914494679114,0.9561262708275335
12644081,0.67927698,0.67930013,220.760406,61.317123,1.14,0.36,0.92,0.27,-0.1679531,0.66,-0.6,-0.75,15.68,147,1,1.7803405567893353,0.8907462370478261
12650705,0.58902401,0.58903942,220.104568,63.192699,1.14,0.36,1.31,0.33,-0.229867,0.59,-0.36,-0.11,15.22,168,1,1.8199595308096068,0.8692263273707359
12655997,0.68054007,0.68054055,220.671967,8.738353,1.09,0.28,1.45,0.52,-0.1671463,0.65,-0.72,-0.61,16.87,208,1,0.05579817618625871,1.0109121560476355
12665575,0.40176704,0.40176196,220.480942,9.765448,1.16,0.12,1.0,0.42,-0.3960257,0.43,-0.06,-1.25,16.12,222,2,0.07883652231258376,1.0245257242131913
