LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
3808897,0.650726,0.650732,0.6507,1.0,525,0.1323506799296392,5.9,1.3,0.1740269898871343,6.8,1.6,14.97,0.19,43,0.0836501106199935,1.3,1.2,0.0914366866821885,1.3,1.3,14.88,0.17,1.5367,1.5706,29.5683,0.0298,8.8222,0.8465,0.8685,45.5477,0.1198,6.2451,0.02,1e-05,Z,NaN,NaN
3941776,0.532222,0.53221,0.5322,1.0,271,0.0849813684972384,18.8,2.8,0.1044764391404973,45.4,3.3,14.88,0.77,41,0.0539365533599833,14.2,2.4,0.0619007045166284,16.9,2.7,14.93,0.56,1.8789,1.9253,21.5564,0.065,9.3459,0.9393,0.9603,47.6531,0.1787,9.2066,0.21,2e-05,Z,NaN,NaN
4052762,0.722607,0.722601,0.7226,1.0,252,0.0888568025691873,3.7,2.0,0.0950601556289872,4.3,2.1,15.3,0.59,59,0.0374828981776345,33.9,1.6,0.0383629828840374,34.2,1.6,15.25,0.54,1.3839,1.4202,27.5028,0.0604,5.6731,1.3838,1.4124,35.0263,0.0678,6.1428,0.05,1e-05,Z,NaN,NaN
4182729,0.681458,0.681459,0.6815,1.0,299,0.0524278412695954,1.6,1.1,0.1256024250137483,12.3,2.1,14.93,0.54,334,0.0461305460220765,2.4,1.3,0.0578251556183474,7.0,1.6,14.89,0.42,1.4674,1.4722,211.8644,0.057,7.4245,1.4675,1.4703,345.4231,0.0626,13.0882,0.12,0.0,L,NaN,NaN
4320492,0.361005,0.360942,0.361,0.9998,480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77,2.8039,29.5116,0.0479,22.7361,2.7706,2.7737,322.5806,0.0659,8.2391,0.0,0.00017,Z,NaN,NaN
4343459,0.572793,0.572789,0.5728,1.0,412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7458,1.7797,29.4855,0.0617,15.2641,1.7458,1.749,313.9717,0.216,11.8017,0.0,1e-05,Z,NaN,NaN
4346704,0.329694,0.329698,0.3297,1.0,361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0331,3.067,29.5334,0.0152,19.1436,3.033,3.0528,50.6073,0.0848,8.4791,0.0,1e-05,Z,NaN,NaN
4347489,0.29799,0.29799,0.298,1.0,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3558,3.3897,29.5203,0.0188,18.3306,1.1186,1.13,88.0282,0.1509,5.3723,0.0,0.0,Z,NaN,NaN
4359545,0.514304,0.514309,0.5143,1.0,278,0.1367601925440798,19.8,2.9,0.1392390492189775,20.8,2.8,15.32,0.69,143,0.0902779541694969,16.9,3.3,0.1076994736665903,18.5,3.8,15.41,0.48,1.9444,2.0028,17.1086,0.0432,4.3282,1.9444,1.9472,351.4938,0.078,21.3258,0.21,1e-05,NaN,Z,6
4544582,0.581309,0.581318,0.5813,1.0,417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7203,1.7542,29.4724,0.0864,15.9996,1.7203,1.743,43.9271,0.0616,6.6642,0.0,2e-05,Z,NaN,NaN
